Dates,Total Deliveries 
11/1/21 - 11/5/21," 10,744 "
11/8/21 - 11/12/21," 10,028 "
11/15/21 - 11/19/21," 10,014 "
11/22/21 - 11/26/21," 6,912 "
11/29/21 - 12/3/21," 9,612 "
12/6/21 - 12/10/21," 10,191 "
12/13/21 - 12/17/21," 9,651 "
12/20/21 - 12/24/21," 8,751 "
12/27/21 - 12/31/21," 8,552 "
1/3/22 - 1/7/22," 10,408 "
1/10/22 - 1/14/22," 10,242 "
1/17/22 - 1/21/22," 8,710 "
1/24/22 - 1/28/22," 10,646 "
1/31/22 - 2/4/22," 10,859 "
2/7/22 - 2/11/22," 10,794 "
2/14/22 - 2/18/22," 11,223 "
2/21/22 - 2/25/22," 10,227 "
,
Average," 9,857 "
,
Average deliveries per Shift, 986 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
