Time,Container,From,To,CTMType
11/30/2021 7:44,MSCU5231478,RTG21,CC1_242_C_4,CheToStack
11/30/2021 7:45,S0025363484,RTG28,316604,CheToTruck
11/30/2021 7:50,S0025363531,RTG27,EE3_466_D_4,CheToStack
11/30/2021 7:51,S0025363540,RTG27,EE3_466_F_4,CheToStack
11/30/2021 7:51,CAIU4586988,RTG25,117179,CheToTruck
11/30/2021 7:52,S0025363552,RTG28,CC3_396_F_2,CheToStack
11/30/2021 7:52,S0025363554,RTG27,345535,CheToTruck
11/30/2021 7:53,TRHU8209486,RTG22,224643,CheToTruck
11/30/2021 7:54,S0025363567,RTG28,308374,CheToTruck
11/30/2021 7:55,PONU1716187,RTG25,DD6_716_C_2,CheToStack
11/30/2021 7:55,S0025363577,RTG28,CC3_398_F_3,CheToStack
11/30/2021 7:56,CAIU9838700,RTG25,DD6_716_A_1,CheToStack
11/30/2021 7:57,TGBU4857682,RTG22,MM3_450_F_1,CheToStack
11/30/2021 7:57,S0025363589,RTG28,CC3_398_E_3,CheToStack
11/30/2021 7:58,SLSU6038920,RTG16,208013,CheToTruck
11/30/2021 7:58,GSTU9175279,RTG25,DD6_716_A_2,CheToStack
11/30/2021 7:58,S0025363601,RTG23,347198,CheToTruck
11/30/2021 7:59,TRLU8633867,RTG22,125116,CheToTruck
11/30/2021 8:00,MSCU5947858,RTG25,360803,CheToTruck
11/30/2021 8:00,S0025363611,RTG27,EE3_444_F_2,CheToStack
11/30/2021 8:00,MSMU6342666,RTG28,CC3_396_E_4,CheToStack
11/30/2021 8:00,TCLU9403638,RTG16,MM5_578_D_2,CheToStack
11/30/2021 8:01,S0025363619,RTG27,Unknown,CheToTruck
11/30/2021 8:02,MRSU3223051,RTG16,252547,CheToTruck
11/30/2021 8:03,MSMU6340534,RTG21,CC1_208_D_4,CheToStack
11/30/2021 8:03,CAIU9954418,RTG22,MM3_446_A_4,CheToStack
11/30/2021 8:03,BEAU5836979,RTG23,286218,CheToTruck
11/30/2021 8:04,MSMU8624313,RTG21,211808,CheToTruck
11/30/2021 8:04,TLLU7944333,RTG22,204394,CheToTruck
11/30/2021 8:04,S0025363658,RTG27,EE3_388_F_4,CheToStack
11/30/2021 8:04,MEDU4619193,RTG16,155799,CheToTruck
